id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,answer_miss,gate_unmet,seq
qa_92_1hop_149,A,7,0,0,0,1,1,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_92_1hop_149,B,3,0,0,0,1,1,0,0,0,0,1,finish,0,0,1,0,종료
qa_92_1hop_149,C,3,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,0,1,검색:야간주거침입절도죄 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_172_1hop_308,A,1,0,0,0,1,1,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_172_1hop_308,B,2,0,0,0,1,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_172_1hop_308,C,2,0,0,0,1,1,2,0,6,8,8,max_steps,1,0,0,1,검색:민사소송법 제220조 검색→논리검증→검색:민사소송법 제220조 관련 판례 검색→논리검증→논리검증→논리검증→논리검증→논리검증
qa_139_1hop_254,A,3,0,0,0,0,1,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_139_1hop_254,B,4,1,1,0,0,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_139_1hop_254,C,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,0,1,검색:감염병의 예방 및 관리에 관한 법률→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_19_1hop_28,A,5,0,0,0,0,1,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_19_1hop_28,B,1,0,0,0,0,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_19_1hop_28,C,2,0,0,0,0,1,2,0,6,8,8,max_steps,1,0,0,1,검색:상법 제916조 제5항→검색:상법 제916조 제5항 관련 판례→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
