id,off_cites,off_fake,off_sfake,off_mism,on_cites,on_fake,on_sfake
qa_19_1hop_28,2,0,0,0,2,0,0
qa_92_1hop_149,1,0,0,0,1,0,0
qa_139_1hop_254,1,0,0,0,1,0,0
qa_172_1hop_308,1,0,0,0,1,0,0
qa_90_2hop_147,3,0,0,0,3,0,0
qa_192_2hop_334,4,0,0,0,4,0,0
qa_312_2hop_499,2,0,0,0,2,0,0
qa_387_2hop_603,2,0,0,0,2,0,0
qa_476_2hop_749,4,0,0,0,4,0,0
qa_621_2hop_937,5,0,0,0,5,0,0
qa_49_2hop_192_rand,4,0,0,0,4,0,0
qa_116_2hop_452_rand,6,0,0,0,6,0,0
qa_163_2hop_630_rand,4,2,2,0,3,0,0
qa_213_2hop_812_rand,3,0,0,0,3,0,0
qa_257_2hop_983_rand,6,0,0,0,6,0,0
qa_140_3hop_540_rand,3,0,0,0,3,0,0
qa_86_3hop_140,2,0,0,0,2,0,0
qa_352_3hop_554,4,0,0,0,4,0,0
qa_61_1hop_93,1,0,0,0,1,0,0
qa_94_1hop_155,2,0,0,0,2,0,0
qa_140_1hop_257,2,0,1,1,2,0,1
qa_174_1hop_312,2,0,0,0,2,0,0
qa_99_2hop_168,3,0,0,0,3,0,0
qa_324_2hop_515,5,0,0,0,5,0,0
qa_401_2hop_619,2,0,0,0,2,0,0
qa_488_2hop_766,5,0,0,0,5,0,0
qa_624_2hop_943,3,0,0,0,3,0,0
qa_59_2hop_232_rand,2,0,0,0,2,0,0
qa_119_2hop_464_rand,3,0,0,0,3,0,0
qa_171_2hop_658_rand,4,0,0,0,4,0,0
qa_215_2hop_820_rand,2,0,0,0,2,0,0
qa_260_2hop_995_rand,3,0,0,0,3,0,0
qa_279_3hop_1064_rand,5,0,0,0,5,0,0
qa_102_3hop_175,3,0,0,0,3,0,0
qa_422_3hop_653,2,0,0,0,2,0,0
qa_24_1hop_35,1,0,0,0,1,0,0
qa_62_1hop_94,2,0,1,1,2,0,1
qa_95_1hop_156,2,0,2,2,2,0,2
qa_141_1hop_258,5,0,0,0,5,0,0
qa_113_2hop_200,2,0,0,0,2,0,0
qa_330_2hop_525,2,0,0,0,2,0,0
qa_406_2hop_622,2,0,0,0,2,0,0
qa_503_2hop_790,6,0,0,0,6,0,0
qa_633_2hop_954,2,0,0,0,2,0,0
