id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_174_1hop_312,형사,C0,,,,4,1,1,0,0,1,1,0,7,8,8,max_steps,1,0,검색:집행유예 취소 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_174_1hop_312,형사,C1,criminal-law-verification,,0134,4,2,2,0,0,1,1,0,7,8,8,max_steps,1,0,"검색:검색어: 형법 제68조, 형사집행법 제27조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_174_1hop_312,형사,C2,criminal-law-verification,형사,0124,3,1,1,0,0,1,1,1,1,3,4,finish,0,0,"검색:검색어: 형법 제68조, 형사집행법 제27조→논리검증→사실검증→종료"
qa_140_1hop_257,민사,C0,,,,3,0,0,0,0,1,1,1,1,3,4,finish,0,0,검색:부동산 거래 위임 및 긴급 조치 관련 법조문→논리검증→사실검증→종료
qa_140_1hop_257,민사,C1,civil-law-verification,,1234,3,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,"검색:민법 제768조, 제770조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_140_1hop_257,민사,C2,civil-law-verification,민사,1234,2,0,0,0,0,1,1,1,1,3,4,finish,0,0,"검색:민법 제786조, 제787조→논리검증→사실검증→종료"
qa_94_1hop_155,형사,C0,,,,1,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:형법 제307조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,형사,C1,criminal-law-verification,,013,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:형법 제307조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,형사,C2,criminal-law-verification,형사,013,3,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:형법 제307조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_476_2hop_749,형사,C0,,,,9,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,"검색:형법 제30조, 제287조, 제288조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_476_2hop_749,형사,C1,criminal-law-verification,,013,5,0,1,1,0,2,1,0,7,8,8,max_steps,1,0,검색:형법 제335조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_476_2hop_749,형사,C2,criminal-law-verification,형사,0134,6,0,1,1,1,2,2,0,6,8,8,max_steps,1,0,"검색:형법 제335조, 제336조, 제30조→논리검증→검색:형법 제336조→논리검증→논리검증→논리검증→논리검증→논리검증"
