id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,answer_miss,gate_unmet,seq
qa_172_1hop_308,A,2,0,0,0,0,1,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_172_1hop_308,B,6,0,0,0,0,1,1,0,0,1,2,finish,0,0,0,0,"검색:민사소송법 제229조, 제230조, 제231→종료"
qa_172_1hop_308,C,4,0,0,0,0,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_90_2hop_147,A,3,0,0,0,0,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_90_2hop_147,B,3,0,0,0,0,2,1,0,0,1,2,finish,0,0,0,0,검색:손해보험계약 관련 구체적 사례 및 보장 범위→종료
qa_90_2hop_147,C,3,0,1,1,0,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_387_2hop_603,A,6,0,0,0,1,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_387_2hop_603,B,4,0,0,0,1,2,1,0,0,1,2,finish,0,0,0,0,검색:공공기관 문서 변조 관련 판례 및 사례→종료
qa_387_2hop_603,C,2,0,1,1,0,2,0,1,1,2,3,finish,0,0,0,0,사실검증→논리검증→종료
qa_19_1hop_28,A,2,0,0,0,0,1,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_19_1hop_28,B,3,0,0,0,0,1,1,0,0,1,2,finish,0,0,0,0,검색:민법상의 손해배상 청구권 소멸시효 관련 조문→종료
qa_19_1hop_28,C,1,0,0,0,0,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_116_2hop_452_rand,A,3,0,0,0,1,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_116_2hop_452_rand,B,3,0,0,0,2,2,1,0,0,1,2,finish,0,0,0,0,검색:별정우체국 지정 해지 절차 및 지정 취소 시→종료
qa_116_2hop_452_rand,C,2,0,0,0,0,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_312_2hop_499,A,4,1,1,0,1,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_312_2hop_499,B,3,1,1,0,0,2,1,0,0,1,2,finish,0,0,0,0,검색:도박 중독 이혼 사유 관련 민법 조문→종료
qa_312_2hop_499,C,3,2,2,0,0,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_192_2hop_334,A,3,0,2,2,1,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_192_2hop_334,B,3,0,0,0,1,2,1,0,0,1,2,finish,0,0,0,0,검색:공무원 부정행위 관련 형법 조문 추가 검색:→종료
qa_192_2hop_334,C,2,0,0,0,1,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_621_2hop_937,A,5,0,0,0,1,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_621_2hop_937,B,7,0,0,0,1,2,1,0,0,1,2,finish,0,0,0,0,검색:행정소송법 관련 강제 수용 및 집행정지 관련→종료
qa_621_2hop_937,C,5,0,1,1,0,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_476_2hop_749,A,2,0,1,1,0,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
