id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_92_1hop_149,형사,C0,,,,6,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:야간주거침입절도죄 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_92_1hop_149,형사,C1,criminal-law-verification,,014,3,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:야간주거침입절도 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_92_1hop_149,형사,C2,criminal-law-verification,형사,0134,3,0,0,0,1,1,1,1,1,3,4,finish,0,0,검색:야간주거침입절도 관련 법조문→논리검증→사실검증→종료
qa_312_2hop_499,민사,C0,,,,3,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,검색:도박 중독 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_312_2hop_499,민사,C1,civil-law-verification,,01234,5,0,0,0,1,2,2,0,6,8,8,max_steps,1,0,검색:민법 제842조→검색:이혼 관련 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_312_2hop_499,민사,C2,civil-law-verification,민사,01234,4,0,0,0,1,2,2,0,6,8,8,max_steps,1,0,검색:민법 제842조→검색:혼인생활 불가능 사유 및 이혼청구권 소멸 기→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,형사,C0,,,,5,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,검색:형사법률 조문 관련 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,형사,C1,criminal-law-verification,,034,7,1,1,0,1,2,0,0,8,8,8,max_steps,1,0,논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,형사,C2,criminal-law-verification,형사,01,4,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_192_2hop_334,형사,C0,,,,8,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,검색:형사처벌 관련 법조문 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_192_2hop_334,형사,C1,criminal-law-verification,,013,5,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:형사법 관련 법조문 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_192_2hop_334,형사,C2,criminal-law-verification,형사,0134,5,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:형사법 관련 법령명 제227조, 제227조의→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
