question_id,gold_statutes,domain,rule_applied,is_mixed
qa_19_1hop_28,상법,기타,majority(기타1),0
qa_92_1hop_149,형법,형사,majority(형사1),0
qa_139_1hop_254,공직선거법,기타,majority(기타1),0
qa_172_1hop_308,민사소송법,기타,majority(기타1),0
qa_90_2hop_147,상법|상법,기타,majority(기타2),0
qa_192_2hop_334,형법|형법,형사,majority(형사2),0
qa_312_2hop_499,민법|민법,민사,majority(민사2),0
qa_387_2hop_603,형법|형법,형사,majority(형사2),0
qa_476_2hop_749,형법|형법,형사,majority(형사2),0
qa_621_2hop_937,행정소송법|행정소송법,기타,majority(기타2),0
qa_49_2hop_192_rand,도로법 시행령|도로법 시행령,기타,majority(기타2),0
qa_116_2hop_452_rand,별정우체국법|별정우체국법,기타,majority(기타2),0
qa_163_2hop_630_rand,국세기본법 시행령|국세기본법 시행령,기타,majority(기타2),0
qa_213_2hop_812_rand,지방세특례제한법|지방세특례제한법,기타,majority(기타2),0
qa_257_2hop_983_rand,소득세법 시행령|소득세법 시행령,기타,majority(기타2),0
qa_140_3hop_540_rand,법무사법|법무사법|법무사법,기타,majority(기타3),0
qa_86_3hop_140,산업재해보상보험법|산업재해보상보험법 시행령|산업재해보상보험법,기타,majority(기타3),0
qa_352_3hop_554,국민체육진흥법|국민체육진흥법|국민체육진흥법,기타,majority(기타3),0
qa_61_1hop_93,헌법재판소법,기타,majority(기타1),0
qa_94_1hop_155,형법,형사,majority(형사1),0
qa_140_1hop_257,민법,민사,majority(민사1),0
qa_174_1hop_312,형법,형사,majority(형사1),0
qa_99_2hop_168,근로기준법|근로기준법,기타,majority(기타2),0
qa_324_2hop_515,민사소송법|민사소송법,기타,majority(기타2),0
qa_401_2hop_619,민법|민법,민사,majority(민사2),0
qa_488_2hop_766,형사소송법|형법,형사,majority(형사2),0
qa_624_2hop_943,사회복지사업법|행정기본법,기타,majority(기타2),0
qa_59_2hop_232_rand,공직선거법|공직선거법,기타,majority(기타2),0
qa_119_2hop_464_rand,하천법 시행령|하천법 시행령,기타,majority(기타2),0
qa_171_2hop_658_rand,대기환경보전법 시행령|대기환경보전법 시행령,기타,majority(기타2),0
qa_215_2hop_820_rand,공직선거법|공직선거법,기타,majority(기타2),0
qa_260_2hop_995_rand,선원법|선원법|선원법,기타,majority(기타3),0
qa_279_3hop_1064_rand,대기환경보전법|대기환경보전법|대기환경보전법,기타,majority(기타3),0
qa_102_3hop_175,형법|형법|상업등기법,형사,majority(형사2/기타1),1
qa_422_3hop_653,민법|민법|민법,민사,majority(민사3),0
qa_24_1hop_35,형사소송법,형사,majority(형사1),0
qa_62_1hop_94,민법,민사,majority(민사1),0
qa_95_1hop_156,민사소송법,기타,majority(기타1),0
qa_141_1hop_258,민법,민사,majority(민사1),0
qa_113_2hop_200,화물자동차 운수사업법|화물자동차 운수사업법,기타,majority(기타2),0
qa_330_2hop_525,상법|상법,기타,majority(기타2),0
qa_406_2hop_622,민법|민법,민사,majority(민사2),0
qa_503_2hop_790,폐기물관리법|폐기물관리법,기타,majority(기타2),0
qa_633_2hop_954,민사집행법|민사집행법,기타,majority(기타2),0
qa_62_2hop_244_rand,공유재산 및 물품 관리법|공유재산 및 물품 관리법,기타,majority(기타2),0
qa_124_2hop_480_rand,식품위생법|식품위생법,기타,majority(기타2),0
qa_174_2hop_666_rand,농어촌정비법|농어촌정비법,기타,majority(기타2),0
qa_216_2hop_824_rand,의료법 시행규칙|의료법 시행규칙,기타,majority(기타2),0
qa_82_3hop_235_rand2,한부모가족지원법|한부모가족지원법|한부모가족지원법,기타,majority(기타3),0
qa_127_3hop_230,사립학교법|사립학교법|사립학교법,기타,majority(기타3),0
qa_430_3hop_669,상법|상법|상법,기타,majority(기타3),0
qa_25_1hop_37,형사소송법|형사소송법,형사,majority(형사2),0
qa_64_1hop_95,민법,민사,majority(민사1),0
qa_99_1hop_167,근로기준법,기타,majority(기타1),0
qa_145_1hop_267,상법,기타,majority(기타1),0
qa_192_1hop_333,형법,형사,majority(형사1),0
qa_115_2hop_204,폐기물관리법|폐기물관리법,기타,majority(기타2),0
qa_332_2hop_531,형법|형사소송법,형사,majority(형사2),0
qa_522_2hop_806,행정소송법|행정기본법,기타,majority(기타2),0
qa_644_2hop_973,민법|민법,민사,majority(민사2),0
qa_63_2hop_248_rand,조세범 처벌법|조세범 처벌법,기타,majority(기타2),0
qa_129_2hop_497_rand,지방세특례제한법|지방세특례제한법,기타,majority(기타2),0
qa_180_2hop_689_rand,소득세법 시행령|소득세법 시행령,기타,majority(기타2),0
qa_226_2hop_860_rand,산지관리법 시행규칙|산지관리법 시행규칙,기타,majority(기타2),0
qa_286_2hop_1091_rand,소득세법 시행령|소득세법 시행령,기타,majority(기타2),0
qa_144_3hop_410_rand2,신탁법|신탁법|신탁법,기타,majority(기타3),0
qa_131_3hop_237,민사소송법|민사소송법|민사소송법,기타,majority(기타3),0
qa_441_3hop_696,민법|민법|민법,민사,majority(민사3),0
qa_26_1hop_39,형법,형사,majority(형사1),0
qa_102_1hop_173,형법,형사,majority(형사1),0
qa_3_2hop_6,형사소송법|형사소송법,형사,majority(형사2),0
qa_116_2hop_208,헌법재판소법|헌법재판소법,기타,majority(기타2),0
qa_202_2hop_350,형법|형법,형사,majority(형사2),0
qa_339_2hop_536,형사소송법|형사소송법,형사,majority(형사2),0
qa_409_2hop_628,상표법|상표법,기타,majority(기타2),0
qa_653_2hop_987,민법|민사집행법,mixed,"tie(민사1,기타1)→mixed",1
qa_130_2hop_501_rand,고용보험법|고용보험법,기타,majority(기타2),0
qa_185_2hop_707_rand,공직선거법|공직선거법,기타,majority(기타2),0
qa_233_2hop_888_rand,군사법원법|군사법원법,기타,majority(기타2),0
qa_41_3hop_66,형사소송법|형사소송법|형사소송법,형사,majority(형사3),0
qa_304_3hop_869_rand2,소득세법 시행령|소득세법 시행령|소득세법 시행령,기타,majority(기타3),0
qa_148_3hop_273,국민체육진흥법|국민체육진흥법|국민체육진흥법,기타,majority(기타3),0
qa_460_3hop_730,민사조정법|민사소송법|민사소송법,기타,majority(기타3),0
qa_68_1hop_100,공직선거법,기타,majority(기타1),0
qa_104_1hop_180,형법,형사,majority(형사1),0
qa_150_1hop_277,형법,형사,majority(형사1),0
qa_5_2hop_8,국가배상법|민법,mixed,"tie(기타1,민사1)→mixed",1
qa_122_2hop_219,형법|형법,형사,majority(형사2),0
qa_340_2hop_539,귀속재산처리법|귀속재산처리법,기타,majority(기타2),0
qa_421_2hop_650,형사소송법|형사소송법,형사,majority(형사2),0
qa_0_2hop_1_rand,석유 및 석유대체연료 사업법 시행령|석유 및 석유대체연료 사업법 시행령,기타,majority(기타2),0
qa_67_2hop_261_rand,간접투자자산 운용업법|간접투자자산 운용업법|간접투자자산 운용업법,기타,majority(기타3),0
qa_132_2hop_507_rand,농어촌정비법|농어촌정비법,기타,majority(기타2),0
qa_193_2hop_739_rand,도로교통법 시행령|도로교통법 시행령,기타,majority(기타2),0
qa_234_2hop_892_rand,형의 집행 및 수용자의 처우에 관한 법률|형의 집행 및 수용자의 처우에 관한 법률,기타,majority(기타2),0
qa_291_2hop_1111_rand,공직선거법|공직선거법,기타,majority(기타2),0
qa_104_3hop_182,형법|형법|형사소송법,형사,majority(형사3),0
qa_309_3hop_881_rand2,공직선거법|공직선거법|공직선거법,기타,majority(기타3),0
qa_168_3hop_301,공무원범죄에 관한 몰수 특례법|공무원범죄에 관한 몰수 특례법|형사소송법,기타,majority(기타2/형사1),1
qa_493_3hop_773,행정소송법|행정소송법|행정소송법,기타,majority(기타3),0
qa_32_1hop_49,상법,기타,majority(기타1),0
qa_69_1hop_102,경비업법|경비업법,기타,majority(기타2),0
qa_105_1hop_183,세무사법,기타,majority(기타1),0
qa_152_1hop_280,민사소송법,기타,majority(기타1),0
qa_17_2hop_25,민법|민법,민사,majority(민사2),0
qa_125_2hop_226,형사소송법|형사소송법,형사,majority(형사2),0
qa_233_2hop_388,민법|민법,민사,majority(민사2),0
qa_343_2hop_541,상법|민법,mixed,"tie(기타1,민사1)→mixed",1
qa_423_2hop_656,신탁법|신탁법,기타,majority(기타2),0
qa_8_2hop_33_rand,청원경찰법 시행규칙|청원경찰법 시행규칙,기타,majority(기타2),0
qa_70_2hop_273_rand,형의 집행 및 수용자의 처우에 관한 법률|형의 집행 및 수용자의 처우에 관한 법률,기타,majority(기타2),0
qa_134_2hop_515_rand,도로교통법 시행령|도로교통법 시행령,기타,majority(기타2),0
qa_197_2hop_752_rand,농어촌정비법|농어촌정비법,기타,majority(기타2),0
qa_239_2hop_912_rand,형의 집행 및 수용자의 처우에 관한 법률|형의 집행 및 수용자의 처우에 관한 법률,기타,majority(기타2),0
qa_366_3hop_580,형법|형법|형법,형사,majority(형사3),0
qa_32_3hop_51,상법|상법|상법,기타,majority(기타3),0
qa_495_3hop_777,공익신고자 보호법|공익신고자 보호법|공익신고자 보호법 시행령,기타,majority(기타3),0
qa_1_1hop_2,형법,형사,majority(형사1),0
qa_72_1hop_108,도로교통법,기타,majority(기타1),0
qa_116_1hop_207,헌법재판소법,기타,majority(기타1),0
qa_155_1hop_283,민법,민사,majority(민사1),0
qa_249_2hop_406,건축사법|행정소송법,기타,majority(기타2),0
qa_356_2hop_565,민사집행법|민사집행법,기타,majority(기타2),0
qa_430_2hop_668,상법|상법,기타,majority(기타2),0
qa_552_2hop_839,장애인복지법|장애인복지법,기타,majority(기타2),0
qa_23_2hop_93_rand,수상레저안전법 시행령|수상레저안전법 시행령,기타,majority(기타2),0
qa_80_2hop_313_rand,군사법원법|군사법원법,기타,majority(기타2),0
qa_139_2hop_535_rand,국가인권위원회법|국가인권위원회법,기타,majority(기타2),0
qa_242_2hop_923_rand,상속세 및 증여세법|상속세 및 증여세법,기타,majority(기타2),0
qa_33_3hop_52,형사소송법|형사소송법|형법,형사,majority(형사3),0
qa_209_3hop_360,민사소송법|민사소송법|민사소송법,기타,majority(기타3),0
qa_498_3hop_782,형사소송법|형사소송법|형사소송법,형사,majority(형사3),0
qa_2_1hop_4,형사소송법,형사,majority(형사1),0
qa_48_1hop_73,형법,형사,majority(형사1),0
qa_74_1hop_114,성폭력범죄의 처벌 등에 관한 특례법,기타,majority(기타1),0
qa_124_1hop_223,민법,민사,majority(민사1),0
qa_49_2hop_75,농지법|농지법,기타,majority(기타2),0
qa_143_2hop_261,민법|민법,민사,majority(민사2),0
qa_365_2hop_578,형법|형사소송법,형사,majority(형사2),0
qa_435_2hop_678,여객자동차 운수사업법|여객자동차 운수사업법,기타,majority(기타2),0
qa_566_2hop_861,민법|민법,민사,majority(민사2),0
qa_83_2hop_325_rand,선원법|선원법,기타,majority(기타2),0
qa_144_2hop_555_rand,간접투자자산 운용업법|간접투자자산 운용업법,기타,majority(기타2),0
qa_243_2hop_927_rand,의료기기법 시행규칙|의료기기법 시행규칙,기타,majority(기타2),0
qa_242_3hop_399,민법|민법|민법,민사,majority(민사3),0
qa_6_1hop_9,국가보안법,기타,majority(기타1),0
qa_50_1hop_78,민법,민사,majority(민사1),0
qa_76_1hop_118,지방재정법,기타,majority(기타1),0
qa_125_1hop_225,형사소송법,형사,majority(형사1),0
qa_160_1hop_289,민법,민사,majority(민사1),0
qa_58_2hop_88,형사소송법|형사소송법,형사,majority(형사2),0
qa_273_2hop_431,민법|민법,민사,majority(민사2),0
qa_584_2hop_884,민법|민법,민사,majority(민사2),0
qa_26_2hop_104_rand,간접투자자산 운용업법|간접투자자산 운용업법,기타,majority(기타2),0
qa_85_2hop_333_rand,지방세특례제한법|지방세특례제한법,기타,majority(기타2),0
qa_145_2hop_559_rand,신용보증기금법|신용보증기금법,기타,majority(기타2),0
qa_206_2hop_786_rand,대기환경보전법 시행령|대기환경보전법 시행령,기타,majority(기타2),0
qa_244_2hop_931_rand,공공주택 특별법 시행령|공공주택 특별법 시행령,기타,majority(기타2),0
qa_608_3hop_919,근로자퇴직급여 보장법|근로기준법|근로자퇴직급여 보장법,기타,majority(기타3),0
qa_274_3hop_434,형법|형법|형사소송법,형사,majority(형사3),0
qa_550_3hop_837,상가건물 임대차보호법|민법|민법,민사,majority(민사2/기타1),1
qa_13_1hop_18,형법,형사,majority(형사1),0
qa_52_1hop_80,형법,형사,majority(형사1),0
qa_80_1hop_125,형법,형사,majority(형사1),0
qa_162_1hop_291,형사소송법,형사,majority(형사1),0
qa_59_2hop_90,공탁법|민법,mixed,"tie(기타1,민사1)→mixed",1
qa_158_2hop_287,어음법|어음법,기타,majority(기타2),0
qa_281_2hop_441,형법|형법,형사,majority(형사2),0
qa_368_2hop_584,민법|민법,민사,majority(민사2),0
qa_602_2hop_910,형사소송법|형사소송법,형사,majority(형사2),0
qa_28_2hop_112_rand,의료기기법 시행규칙|의료기기법 시행규칙,기타,majority(기타2),0
qa_157_2hop_606_rand,군사법원법|군사법원법,기타,majority(기타2),0
qa_207_2hop_790_rand,선원법|선원법,기타,majority(기타2),0
qa_14_3hop_58_rand,산지관리법 시행령|산지관리법 시행령|산지관리법 시행령,기타,majority(기타3),0
qa_73_3hop_113,형법|형법|형법,형사,majority(형사3),0
qa_314_3hop_503,민법|어음법|어음법,기타,majority(기타2/민사1),1
qa_16_1hop_22,형사소송법,형사,majority(형사1),0
qa_55_1hop_83,형사소송법,형사,majority(형사1),0
qa_135_1hop_245,전자금융거래법,기타,majority(기타1),0
qa_165_1hop_293,소송촉진 등에 관한 특례법,기타,majority(기타1),0
qa_69_2hop_103,경비업법|형법,mixed,"tie(기타1,형사1)→mixed",1
qa_168_2hop_300,공무원범죄에 관한 몰수 특례법|공무원범죄에 관한 몰수 특례법,기타,majority(기타2),0
qa_290_2hop_453,도시 및 주거환경정비법|도시 및 주거환경정비법,기타,majority(기타2),0
qa_450_2hop_717,형법|형법,형사,majority(형사2),0
