id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_172_1hop_308,기타,C0,,,,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_172_1hop_308,기타,C1,,,,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_172_1hop_308,기타,C2,civil-law-verification,민사,1,2,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_49_2hop_192_rand,기타,C0,,,,4,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_49_2hop_192_rand,기타,C1,,,,4,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_49_2hop_192_rand,기타,C2,,기타,,3,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_139_1hop_254,기타,C0,,,,4,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_139_1hop_254,기타,C1,,,,2,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_139_1hop_254,기타,C2,,기타,,2,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_19_1hop_28,기타,C0,,,,3,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_19_1hop_28,기타,C1,,,,2,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_19_1hop_28,기타,C2,civil-law-verification,민사,01,2,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_257_2hop_983_rand,기타,C0,,,,2,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_257_2hop_983_rand,기타,C1,,,,2,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_257_2hop_983_rand,기타,C2,,기타,,2,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_116_2hop_452_rand,기타,C0,,,,2,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_116_2hop_452_rand,기타,C1,,,,2,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_116_2hop_452_rand,기타,C2,,기타,,2,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_90_2hop_147,기타,C0,,,,2,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_90_2hop_147,기타,C1,,,,2,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_90_2hop_147,기타,C2,,기타,,2,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_213_2hop_812_rand,기타,C0,,,,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_213_2hop_812_rand,기타,C1,,,,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_213_2hop_812_rand,기타,C2,,기타,,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_140_3hop_540_rand,기타,C0,,,,4,0,0,0,0,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_140_3hop_540_rand,기타,C1,,,,4,0,0,0,0,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_140_3hop_540_rand,기타,C2,civil-law-verification,민사,12,3,0,0,0,0,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_163_2hop_630_rand,기타,C0,,,,4,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_163_2hop_630_rand,기타,C1,,,,4,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_163_2hop_630_rand,기타,C2,civil-law-verification,민사,012,5,1,1,0,1,1,1,1,0,2,3,finish,0,0,"사실검증→검색:국세기본법 제84조의2 제1항 제3호, 제4→종료"
qa_86_3hop_140,기타,C0,,,,3,0,0,0,1,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_86_3hop_140,기타,C1,,,,4,0,0,0,1,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_86_3hop_140,기타,C2,,기타,,4,0,0,0,1,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_621_2hop_937,기타,C0,,,,4,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_621_2hop_937,기타,C1,,,,5,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_621_2hop_937,기타,C2,civil-law-verification,민사,123,1,0,0,0,0,2,0,1,1,2,3,finish,0,0,사실검증→논리검증→종료
qa_99_2hop_168,기타,C0,,,,2,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_99_2hop_168,기타,C1,,,,2,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_99_2hop_168,기타,C2,civil-law-verification,민사,01,3,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_61_1hop_93,기타,C0,,,,2,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_61_1hop_93,기타,C1,,,,2,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_61_1hop_93,기타,C2,,기타,,1,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
