id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_139_1hop_254,기타,C0,,,,2,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_139_1hop_254,기타,C1,,,,3,0,1,1,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_139_1hop_254,기타,C2,,기타,,2,0,1,1,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_172_1hop_308,기타,C0,,,,3,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_172_1hop_308,기타,C1,,,,5,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_172_1hop_308,기타,C2,civil-law-verification,민사,01,1,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_19_1hop_28,기타,C0,,,,4,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_19_1hop_28,기타,C1,,,,4,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_19_1hop_28,기타,C2,civil-law-verification,민사,01,1,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_213_2hop_812_rand,기타,C0,,,,4,0,1,1,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_213_2hop_812_rand,기타,C1,,,,4,0,1,1,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_213_2hop_812_rand,기타,C2,,기타,,6,0,1,1,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_86_3hop_140,기타,C0,,,,3,0,0,0,1,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_86_3hop_140,기타,C1,,,,2,0,0,0,1,3,0,1,1,2,3,finish,0,0,사실검증→논리검증→종료
qa_86_3hop_140,기타,C2,,기타,,2,0,0,0,1,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_49_2hop_192_rand,기타,C0,,,,2,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_49_2hop_192_rand,기타,C1,,,,2,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_49_2hop_192_rand,기타,C2,,기타,,1,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_621_2hop_937,기타,C0,,,,3,0,2,2,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_621_2hop_937,기타,C1,,,,5,0,1,1,0,2,0,1,1,2,3,finish,0,0,사실검증→논리검증→종료
qa_621_2hop_937,기타,C2,civil-law-verification,민사,01,5,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_257_2hop_983_rand,기타,C0,,,,4,0,3,3,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_257_2hop_983_rand,기타,C1,,,,3,0,1,1,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
