id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_92_1hop_149,형사,C0,,,,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_92_1hop_149,형사,C1,criminal-law-verification,,01,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_92_1hop_149,형사,C2,civil-law-verification,민사,01234,7,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_102_3hop_175,형사,C0,,,,4,0,0,0,0,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_102_3hop_175,형사,C1,criminal-law-verification,,01,5,0,0,0,0,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_102_3hop_175,형사,C2,civil-law-verification,민사,01,5,0,0,0,0,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_422_3hop_653,민사,C0,,,,2,0,0,0,2,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_422_3hop_653,민사,C1,civil-law-verification,,01,4,0,0,0,2,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_422_3hop_653,민사,C2,civil-law-verification,민사,01,4,0,0,0,2,3,0,1,0,1,2,finish,0,0,사실검증→종료
qa_174_1hop_312,형사,C0,,,,3,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_174_1hop_312,형사,C1,criminal-law-verification,,1,1,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_174_1hop_312,형사,C2,,기타,,2,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_94_1hop_155,형사,C0,,,,4,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_94_1hop_155,형사,C1,criminal-law-verification,,01,4,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_94_1hop_155,형사,C2,civil-law-verification,민사,01,4,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_476_2hop_749,형사,C0,,,,6,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_476_2hop_749,형사,C1,criminal-law-verification,,01,2,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_476_2hop_749,형사,C2,,기타,,9,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_387_2hop_603,형사,C0,,,,5,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_387_2hop_603,형사,C1,criminal-law-verification,,1,6,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_387_2hop_603,형사,C2,civil-law-verification,민사,01,5,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_488_2hop_766,형사,C0,,,,7,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_488_2hop_766,형사,C1,criminal-law-verification,,01,6,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_488_2hop_766,형사,C2,,기타,,6,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_192_2hop_334,형사,C0,,,,5,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_192_2hop_334,형사,C1,criminal-law-verification,,1,4,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_192_2hop_334,형사,C2,civil-law-verification,민사,12,5,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_140_1hop_257,민사,C0,,,,4,0,0,0,1,1,1,1,1,3,4,finish,0,0,검색:위임 종료 후 긴급 상황 대응 관련 민법 조→논리검증→사실검증→종료
qa_140_1hop_257,민사,C1,civil-law-verification,,012,3,0,0,0,0,1,1,1,0,2,3,finish,0,0,"검색:민법 제60조 (위임의 종료와 해지), 민법→사실검증→종료"
qa_140_1hop_257,민사,C2,civil-law-verification,민사,012,4,0,0,0,1,1,1,1,0,2,3,finish,0,0,검색:위임 종료 후 긴급 상황에서의 재산 보호 관→사실검증→종료
qa_401_2hop_619,민사,C0,,,,3,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_401_2hop_619,민사,C1,civil-law-verification,,012,5,1,1,0,0,2,1,1,0,2,3,finish,0,0,검색:공동 소유 토지 매각 관련 민법 조문 추가 →사실검증→종료
qa_401_2hop_619,민사,C2,,기타,,2,0,0,0,0,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_312_2hop_499,민사,C0,,,,3,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_312_2hop_499,민사,C1,civil-law-verification,,,5,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_312_2hop_499,민사,C2,civil-law-verification,민사,,6,0,0,0,2,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_25_1hop_37,형사,C0,,,,3,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_25_1hop_37,형사,C1,criminal-law-verification,,01,2,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_25_1hop_37,형사,C2,,기타,,2,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_24_1hop_35,형사,C0,,,,5,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_24_1hop_35,형사,C1,criminal-law-verification,,01,5,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_24_1hop_35,형사,C2,civil-law-verification,민사,01,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,사실검증→종료
qa_62_1hop_94,민사,C0,,,,2,0,0,0,0,1,0,1,0,1,2,finish,0,0,사실검증→종료
