idx,n_citations,n_fake,n_strict_fake,n_uncertain,loose_fake_rate,strict_fake_rate,question
1,2,0,0,1,0.0,0.0,"소멸시효에 관한 설명 중 옳은 것은? (다툼이 있는 경우 판례에 의함)
A. 채무불이행으로 인한 손해배상채권"
2,0,0,0,0,0.0,0.0,대부업을 하는 甲은 乙에게 아래 표와 같이 세 차례에 걸쳐 총 3억 원을 대여하였다. <table borde
3,0,0,0,0,0.0,0.0,甲과 乙은 부부로서 그들의 공동친권에 따르는 미성년 자녀 丙과 丁을 두고 있다. 이에 관한 설명 중 옳은 것
4,0,0,0,0,0.0,0.0,甲과 乙 2인은 인공지능 관련 사업을 동업하기로 하는 ｢민법｣상 조합계약을 체결하였다. 개인적인 사정으로 인
5,2,0,0,0,0.0,0.0,乙은 甲으로부터 甲 소유의 X 토지를 매도하는 대리권한을 받아 丙과 X 토지에 대해 매매계약을 체결하였다. 
6,4,0,0,0,0.0,0.0,"점유취득시효에 관한 설명 중 옳은 것을 모두 고른 것은? (각 지문은 독립적이며, 다툼이 있는 경우 판례에 "
7,0,0,0,0,0.0,0.0,"법률행위의 부관에 관한 설명 중 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)
A. 법률행위의 효력 발"
8,0,0,0,0,0.0,0.0,의사의 설명의무에 관한 설명 중 옳지 않은 것을 모두 고른 것은? (다툼이 있는 경우 판례에 의함) ㄱ. 의
9,7,0,0,3,0.0,0.0,"흠 있는 의사표시에 관한 설명 중 옳은 것은? (각 지문은 독립적이며, 다툼이 있는 경우 판례에 의함)
A."
10,4,3,3,0,0.75,0.75,임차권등기명령에 관한 설명 중 옳은 것을 모두 고른 것은? (다툼이 있는 경우 판례에 의함) ㄱ.임차권등기명
11,2,1,1,0,0.5,1.0,"동시이행에 관한 설명 중 옳은 것은? (다툼이 있는 경우 판례에 의함)
A. 도급계약에서 수급인이 도급계약에"
12,4,3,3,0,0.75,0.75,"甲은 사실혼 배우자 乙과 사이에 甲이 인지한 성년인 자녀 丙을 두었고, 丙에게는 혼인 중 출생자인 자녀 丁이"
13,6,1,1,0,0.1667,1.0,甲과 乙은 각 1/2의 지분으로 X 건물을 공유하고 있다. X 건물은 丙 소유의 Y 토지 위에 건축되어 있다
14,5,1,1,0,0.2,0.5,甲은 2020. 2. 10. 乙과 乙 소유의 X 부동산에 관하여 매매계약을 체결하고 2020. 3. 10. 
15,2,0,0,1,0.0,0.0,"상속에 관한 설명 중 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)
A. 피대습인이 대습원인의 발생 이"
16,2,0,0,0,0.0,0.0,대상청구권에 관한 설명 중 옳은 것(○)과 옳지 않은 것(×)을 올바르게 조합한 것은? (다툼이 있는 경우 
17,0,0,0,0,0.0,0.0,"甲은 2023. 2. 1. 乙에게 甲 소유 X 부동산을 1억 원에 매도하기로 하는 계약을 체결하고, 계약 당"
18,5,1,1,2,0.3333,0.5,"금전채권 및 이에 대한 지체책임에 관한 설명 중 옳은 것은? (다툼이 있는 경우 판례에 의함)
A. 금전소비"
19,3,0,0,0,0.0,0.0,甲은 자신의 X 토지에 Y 건물을 신축하기 위해 공사업자인 乙과 공사도급계약을 체결하였다. 甲은 乙이 丙으로
20,3,3,3,0,1.0,1.0,甲은 2020. 8. 11. 乙과 대출계약을 체결하면서 乙에 대한 채권을 담보하기 위하여 乙 소유의 X 토지
21,1,0,0,0,0.0,0.0,채권의 소멸에 관한 설명 중 옳은 것을 모두 고른 것은? (다툼이 있는 경우 판례에 의함) ㄱ.임대인은 임대
22,4,0,0,1,0.0,0.0,다수당사자 채권관계에 대한 설명 중 옳은 것(○)과 옳지 않은 것(×)을 올바르게 조합한 것은? (이자와 지
23,4,0,0,3,0.0,0.0,부양의무에 관한 설명 중 옳은 것을 모두 고른 것은? (다툼이 있는 경우 판례에 의함) ㄱ. 부부간의 부양의
24,4,0,0,1,0.0,0.0,甲과 乙은 甲 소유의 X 토지를 乙이 매수하는 계약을 체결하면서 매매대금은 X 토지의 인도 및 소유권이전등기
25,3,0,0,0,0.0,0.0,"甲은 乙에 대하여 변제기가 도래한 2억 원의 대여금채권(A 채권)을 가지고 있고, 채무초과 상태인 乙은 丙에"
26,3,0,0,0,0.0,0.0,甲은 자기 소유 X 건물에 乙 앞으로 전세권을 설정해 주었다. 이에 관한 설명 중 옳지 않은 것을 모두 고른
27,3,0,0,3,0.0,0.0,"甲은 2015. 2. 1. 乙에게 1억 원을 변제기 2016. 1. 31.로 정하여 대여하였는데, 乙은 위 "
28,7,0,0,1,0.0,0.0,甲이 乙에 대한 임대차보증금반환채권에 관하여 丙에 대한 금전채무의 담보를 위하여 丙과 질권설정계약을 체결하고
29,2,0,0,0,0.0,0.0,X 토지에 대한 법정지상권에 관한 설명 중 옳은 것(○)과 옳지 않은 것(×)을 올바르게 조합한 것은? (각
30,3,0,0,0,0.0,0.0,"채권자취소권에 관한 설명 중 옳지 않은 것은? (각 지문은 독립적이며, 다툼이 있는 경우 판례에 의함)
A."
