id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,answer_miss,gate_unmet,seq
qa_92_1hop_149,A,8,0,0,0,1,1,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_92_1hop_149,B,4,0,0,0,1,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_92_1hop_149,C,5,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,0,1,검색:야간주거침입절도죄 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_116_2hop_452_rand,A,4,0,0,0,2,2,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_116_2hop_452_rand,B,6,0,0,0,2,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_116_2hop_452_rand,C,4,0,0,0,2,2,2,0,6,8,8,max_steps,1,0,0,1,검색:별정우체국법 관련 조문→검색:별정우체국법 제3조 제15조 관련 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_172_1hop_308,A,1,0,0,0,1,1,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_172_1hop_308,B,2,0,0,0,1,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_172_1hop_308,C,3,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,0,1,검색:민사소송법 제220조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_49_2hop_192_rand,A,2,0,0,0,1,2,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_49_2hop_192_rand,B,3,0,0,0,1,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_49_2hop_192_rand,C,2,0,0,0,1,2,2,0,6,8,8,max_steps,1,0,0,1,검색:도로법 관련 조문→검색:도로관리협회 관련 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_139_1hop_254,A,5,1,1,0,0,1,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_139_1hop_254,B,4,1,1,0,0,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_139_1hop_254,C,0,0,0,0,0,1,3,0,5,8,8,max_steps,0,0,1,1,검색:공직선거법 수감 선거권→논리검증→검색:수형자 선거권 대한민국 법률→논리검증→논리검증→검색:수형자 선거권 한국 법률→논리검증→논리검증
qa_90_2hop_147,A,2,0,0,0,0,2,1,2,2,5,2,finish,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_90_2hop_147,B,1,0,0,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_90_2hop_147,C,2,0,0,0,1,2,2,0,6,8,8,max_steps,1,0,0,1,검색:자전거 손해보험 관련 법령→검색:자전거 손해보험 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_476_2hop_749,A,5,0,0,0,0,2,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_476_2hop_749,B,8,0,0,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_476_2hop_749,C,8,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,0,1,검색:형법 제329조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_312_2hop_499,A,3,0,0,0,1,2,1,2,2,5,2,finish,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_312_2hop_499,B,3,0,0,0,1,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_312_2hop_499,C,6,0,0,0,2,2,1,0,7,8,8,max_steps,1,0,0,1,검색:도박 중독 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_621_2hop_937,A,5,0,0,0,0,2,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_621_2hop_937,B,5,0,0,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_621_2hop_937,C,3,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,0,1,검색:강제수용 취소소송 집행정지 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_19_1hop_28,A,4,0,0,0,0,1,1,2,2,5,2,finish,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_19_1hop_28,B,1,0,0,0,0,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_19_1hop_28,C,3,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,0,1,검색:상법 제916조 제5항→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,A,4,0,0,0,1,2,1,2,2,5,2,finish,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_387_2hop_603,B,5,0,0,0,1,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_387_2hop_603,C,8,0,0,0,2,2,2,0,6,8,8,max_steps,1,0,0,1,검색:형사법률 조문 검색→논리검증→논리검증→논리검증→검색:공공기관 발행 문서 위조 변조 관련 법률→논리검증→논리검증→논리검증
qa_163_2hop_630_rand,A,4,2,2,0,0,1,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_163_2hop_630_rand,B,2,0,0,0,1,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_163_2hop_630_rand,C,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,0,1,검색:현금영수증 발급 거부 포상금 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_61_1hop_93,A,1,0,0,0,1,1,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_61_1hop_93,B,1,0,0,0,1,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_61_1hop_93,C,1,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,0,1,검색:헌법재판소법 제12조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_192_2hop_334,A,7,0,0,0,0,2,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_192_2hop_334,B,6,0,0,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_192_2hop_334,C,6,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,0,1,검색:형사처벌 관련 법조문 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,A,4,0,0,0,1,1,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_94_1hop_155,B,5,0,0,0,1,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_94_1hop_155,C,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,0,1,검색:형사법률 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_86_3hop_140,A,2,0,0,0,0,3,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_86_3hop_140,B,7,0,0,0,0,3,0,0,0,0,1,finish,0,0,0,0,종료
qa_86_3hop_140,C,5,0,0,0,0,3,2,0,6,8,8,max_steps,1,0,0,1,"검색:산업재해보상보험법 관련 조문→검색:산업재해보상보험법 제40조, 제41조 관련 →논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_257_2hop_983_rand,A,5,0,0,0,1,1,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_257_2hop_983_rand,B,1,0,0,0,1,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_257_2hop_983_rand,C,0,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,0,1,검색:매입자발행계산서 발급 관련 법령 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_140_3hop_540_rand,A,5,0,0,0,0,3,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_140_3hop_540_rand,B,3,0,0,0,0,3,0,0,0,0,1,finish,0,0,0,0,종료
qa_140_3hop_540_rand,C,3,0,0,0,0,3,2,0,6,8,8,max_steps,1,0,0,1,검색:법무사법 제12조→검색:법무사법 제12조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_174_1hop_312,A,2,0,0,0,0,1,1,2,2,5,2,finish,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_174_1hop_312,B,2,0,0,0,0,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_174_1hop_312,C,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,0,1,검색:집행유예와 금고 이상의 형 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_352_3hop_554,A,6,0,0,0,2,3,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_352_3hop_554,B,4,0,0,0,2,3,0,0,0,0,1,finish,0,0,0,0,종료
qa_352_3hop_554,C,8,0,0,0,2,3,2,0,6,8,8,max_steps,1,0,0,1,검색:国民体育振兴法→검색:도박 관련 법률→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_324_2hop_515,A,6,0,0,0,1,2,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_324_2hop_515,B,5,0,0,0,1,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_324_2hop_515,C,5,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,0,1,검색:민사소송법 제2조부터 제24조까지→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_140_1hop_257,A,3,0,0,0,0,1,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_140_1hop_257,B,3,0,0,0,0,1,0,0,0,0,1,finish,0,0,0,0,종료
