id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_19_1hop_28,A,8,0,0,0,0,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_19_1hop_28,B,2,0,0,0,0,1,1,0,0,1,2,finish,0,0,검색:「소송时效法」 제16조→종료
qa_92_1hop_149,A,5,0,0,0,1,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_92_1hop_149,B,4,0,0,0,0,1,2,0,0,2,5,finish,0,2,형식오류→검색:법조문 데이터베이스에서 관련 조문을 더 찾아→형식오류→검색:법조문 데이터베이스에서 관련 조문을 더 찾아→종료
qa_139_1hop_254,A,7,0,0,0,0,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_139_1hop_254,B,0,0,0,0,0,1,1,0,0,1,3,finish,0,1,검색:형사처벌을 받고 있는 사람의 선거권에 관한 →형식오류→종료
qa_172_1hop_308,A,1,0,0,0,1,1,0,3,3,6,3,finish,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_172_1hop_308,B,3,0,0,0,1,1,1,0,0,1,2,finish,0,0,검색:변론조서의 법적 효력에 관한 추가 조문→종료
qa_90_2hop_147,A,3,0,0,0,0,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_90_2hop_147,B,4,0,0,0,0,2,1,0,0,1,2,finish,0,0,검색:법조문 데이터베이스에서 관련 조문을 더 찾아→종료
qa_192_2hop_334,A,5,0,0,0,1,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_192_2hop_334,B,4,3,3,0,0,2,1,0,0,1,2,finish,0,0,"검색:형사소송법 제268조, 행정처분법 제37조,→종료"
qa_312_2hop_499,A,2,0,1,1,0,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_312_2hop_499,B,2,1,1,0,0,2,1,0,0,1,2,finish,0,0,검색:가정법률보호법 제16조와 민법 제847조의 →종료
qa_387_2hop_603,A,3,0,0,0,0,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_387_2hop_603,B,4,2,2,0,0,2,1,0,0,1,2,finish,0,0,검색:법조문 데이터베이스에서 관련 조문을 더 찾아→종료
qa_476_2hop_749,A,3,0,0,0,0,2,0,1,1,2,1,finish,0,0,생성→사실검증→논리검증→종료
qa_476_2hop_749,B,3,0,0,0,1,2,1,0,0,1,2,finish,0,0,"검색:「형법」 제287조, 제288조, 제30조의→종료"
qa_621_2hop_937,A,3,2,2,0,0,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_621_2hop_937,B,2,2,2,0,0,2,1,0,0,1,3,finish,0,1,형식오류→검색:강제 수용 절차 및 집행정지 관련 법조문→종료
qa_49_2hop_192_rand,A,6,0,0,0,1,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_49_2hop_192_rand,B,3,0,0,0,0,2,1,0,0,1,3,finish,0,1,"형식오류→검색:도로관리법 제10조, 제11조, 제12조→종료"
qa_116_2hop_452_rand,A,4,0,0,0,2,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_116_2hop_452_rand,B,6,0,0,0,2,2,1,0,0,1,2,finish,0,0,검색:별정우체국 지정 해지 절차와 시설 철거 관련→종료
qa_163_2hop_630_rand,A,2,1,1,0,0,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_163_2hop_630_rand,B,5,2,2,0,0,1,4,0,1,5,6,finish,0,0,검색:현금영수증법 시행령 제16조→검색:현금영수증법 시행령 제16조→논리검증→검색:현금영수증법 시행령 제16조 우선순위 결정 →검색:현금영수증법 시행령 제16조 우선순위 결정 →종료
qa_213_2hop_812_rand,A,2,0,0,0,0,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_213_2hop_812_rand,B,7,0,0,0,0,1,1,0,0,1,2,finish,0,0,"검색:세법 제178조, 환경보전법 제19조, 환경→종료"
qa_257_2hop_983_rand,A,2,1,1,0,1,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_257_2hop_983_rand,B,2,0,0,0,0,1,1,0,0,1,2,finish,0,0,검색:법조문 데이터베이스에서 관련 조문을 더 찾아→종료
qa_140_3hop_540_rand,A,7,0,0,0,0,3,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_140_3hop_540_rand,B,13,0,0,0,0,3,0,0,0,0,8,max_steps,1,8,형식오류→형식오류→형식오류→형식오류→형식오류→형식오류→형식오류→형식오류
qa_86_3hop_140,A,4,0,0,0,0,3,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_86_3hop_140,B,4,0,0,0,0,3,0,0,0,0,3,finish,0,2,형식오류→형식오류→종료
qa_352_3hop_554,A,4,0,0,0,1,3,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_352_3hop_554,B,3,3,3,0,0,3,1,0,0,1,2,finish,0,0,검색:체육진흥투표권과 비슷한 이벤트를 운영한 경우→종료
qa_61_1hop_93,A,1,0,0,0,1,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_61_1hop_93,B,3,0,0,0,0,1,3,0,0,3,4,finish,1,0,검색:헌법재판소법 제20조→검색:헌법재판소법 제20조→검색:헌법재판소법 제20조→종료
qa_94_1hop_155,A,3,0,0,0,1,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_94_1hop_155,B,4,0,0,0,0,1,1,0,0,1,2,finish,0,0,검색:「성폭력범죄의 처벌 등에 관한 특례법」 제1→종료
qa_140_1hop_257,A,3,0,0,0,1,1,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_140_1hop_257,B,5,0,0,0,0,1,1,0,0,1,2,finish,0,0,검색:「민법」 제760조와 「민법」 제849조의 →종료
qa_174_1hop_312,A,4,0,0,0,0,1,0,3,3,6,3,finish,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_174_1hop_312,B,1,1,1,0,0,1,0,0,3,3,8,finish,0,4,형식오류→논리검증→형식오류→논리검증→형식오류→논리검증→형식오류→종료
qa_99_2hop_168,A,5,0,0,0,2,2,0,3,3,6,3,finish,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_99_2hop_168,B,5,0,0,0,1,2,1,0,0,1,2,finish,0,0,검색:부당해고에 관한 추가 조문→종료
qa_324_2hop_515,A,4,0,0,0,1,2,0,2,2,4,2,finish,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_324_2hop_515,B,3,0,0,0,0,2,1,0,0,1,2,finish,0,0,검색:청구 병합 절차 관련 법조문→종료
qa_401_2hop_619,A,3,0,0,0,0,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_401_2hop_619,B,3,0,0,0,0,2,1,0,0,1,2,finish,0,0,검색:「토지소유권등기법」 제10조의 실제 내용과 →종료
qa_488_2hop_766,A,7,0,0,0,0,2,0,2,2,4,2,finish,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_488_2hop_766,B,5,0,0,0,0,2,3,0,1,4,6,finish,0,1,형식오류→검색:상표권 침해 조건→검색:상표와 상품의 유사성 판단 기준→논리검증→검색:상표와 상품의 유사성 판단 기준→종료
qa_624_2hop_943,A,5,3,3,0,0,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_624_2hop_943,B,3,1,1,0,0,2,1,0,0,1,2,finish,0,0,검색:보건복지부 장관의 재량권 행사 기준 관련 법→종료
qa_59_2hop_232_rand,A,2,0,0,0,1,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_59_2hop_232_rand,B,4,0,0,0,1,2,1,0,0,1,2,finish,0,0,검색:방송 연설과 신문 광고에 대한 공직선거법 제→종료
qa_119_2hop_464_rand,A,4,0,0,0,1,2,0,3,3,6,3,max_iter,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_119_2hop_464_rand,B,4,2,2,0,0,2,1,0,0,1,2,finish,0,0,검색:하천구역 지정일로부터 5년 이내 처분 제한 →종료
qa_171_2hop_658_rand,A,3,0,0,0,1,1,0,2,2,4,2,finish,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_171_2hop_658_rand,B,1,0,0,0,0,1,0,0,0,0,8,max_steps,1,8,형식오류→형식오류→형식오류→형식오류→형식오류→형식오류→형식오류→형식오류
