id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_49_2hop_192_rand,기타,C0,,,,4,0,0,0,0,2,1,4,3,8,8,max_steps,1,0,검색:도로관리법 제10조 제11조→논리검증→논리검증→논리검증→사실검증→사실검증→사실검증→사실검증
qa_49_2hop_192_rand,기타,C1,,,,4,0,0,0,0,2,4,0,4,8,8,max_steps,0,0,"검색:도로관리법 제10조, 도로관리법 시행령 제1→논리검증→검색:도로관리법 제10조, 도로관리법 시행령 제1→논리검증→검색:도로관리법 제10조, 도로관리법 시행령 제1→논리검증→검색:도로관리법 제10조, 도로관리법 시행령 제1→논리검증"
qa_49_2hop_192_rand,기타,C2,,기타,,2,0,0,0,0,2,1,1,1,3,4,finish,0,0,검색:도로관리법 제10조 검색→논리검증→사실검증→종료
qa_172_1hop_308,기타,C0,,,,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:민사소송법 변론조서 법적 효력→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_172_1hop_308,기타,C1,,,,1,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:민사소송법 변론조서 법적 효력→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_172_1hop_308,기타,C2,,기타,,2,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:민사소송법 변론조서 법적 효력→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_116_2hop_452_rand,기타,C0,,,,8,7,7,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:우편법 제67조, 제68조, 제69조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_116_2hop_452_rand,기타,C1,,,,5,0,0,0,2,2,1,0,7,8,8,max_steps,1,0,검색:별정우체국 지정 해지 및 시설 철거 관련 법→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_116_2hop_452_rand,기타,C2,,기타,,8,7,7,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:우편법 제67조, 제68조, 제69조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_86_3hop_140,기타,C0,,,,1,1,1,0,0,3,1,0,7,8,8,max_steps,1,0,"검색:산업안전보건법 제57조, 노동기본법 제60조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_86_3hop_140,기타,C1,,,,1,1,1,0,0,3,4,0,4,8,8,max_steps,0,0,검색:산업재해 의료사고 추가 상해 인정 조문→논리검증→검색:산업재해보상보험법 제49조 관련 조문→논리검증→검색:산업재해보상보험법 제49조 관련 조문→논리검증→검색:산업재해보상보험법 제49조 관련 조문→논리검증
qa_86_3hop_140,기타,C2,,기타,,3,2,2,0,0,3,2,0,6,8,8,max_steps,1,0,"검색:산업안전보건법 제60조, 노동기본법 제78조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→검색:산업재해보상보험법 제47조 제1항 제2호 판"
qa_19_1hop_28,기타,C0,,,,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:손해배상청구권 소멸시효 관련 법조문 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_19_1hop_28,기타,C1,,,,4,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:손해배상청구권 소멸시효 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_19_1hop_28,기타,C2,civil-law-verification,민사,0134,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,"검색:민법 제258조, 제260조, 제261조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_213_2hop_812_rand,기타,C0,,,,1,0,0,0,1,1,2,0,6,8,8,max_steps,1,0,"검색:천연가스 버스, 전기버스, 수소전기버스 취득→논리검증→검색:지방세특례제한법 제70조 최신 개정 내용 검→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_213_2hop_812_rand,기타,C1,,,,1,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,"검색:천연가스 버스, 전기버스, 수소전기버스 취득→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_213_2hop_812_rand,기타,C2,,기타,,2,1,1,0,1,1,1,0,7,8,8,max_steps,1,0,"검색:천연가스 버스, 전기버스, 수소전기버스 취득→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_621_2hop_937,기타,C0,,,,4,3,3,0,0,2,2,0,6,8,8,max_steps,1,0,검색:강제수용 취소소송 자격 및 집행정지 요건 관→검색:행정소송법 강제수용 취소소송 집행정지 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_621_2hop_937,기타,C1,,,,6,3,3,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:강제수용 취소소송, 집행정지 요건→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_621_2hop_937,기타,C2,civil-law-verification,민사,0123,4,2,2,0,0,2,2,0,6,8,8,max_steps,1,0,"검색:검색어: 행정소송법 제78조, 행정소송법 제→검색:검색어: 행정소송법 제78조, 행정소송법 제→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_90_2hop_147,기타,C0,,,,4,3,3,0,0,2,1,0,7,8,8,max_steps,1,0,"검색:보험업법 제60조, 민법 제718조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_90_2hop_147,기타,C1,,,,6,0,0,0,1,2,2,0,6,8,8,max_steps,1,0,"검색:보험업법 제60조, 민법 제718조, 보험업→논리검증→논리검증→논리검증→논리검증→논리검증→검색:보험업법 손해보험 조문→논리검증"
qa_90_2hop_147,기타,C2,,기타,,4,0,0,0,0,2,2,0,6,8,8,max_steps,1,0,"검색:보험업법 제60조, 민법 제718조, 보험업→논리검증→논리검증→논리검증→논리검증→검색:보험업법 제60조, 민법 제718조, 자전거→논리검증→논리검증"
