id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,answer_miss,gate_unmet,seq
qa_172_1hop_308,A,1,0,0,0,1,1,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_172_1hop_308,B,1,0,0,0,1,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_172_1hop_308,C,3,0,0,0,1,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_92_1hop_149,A,4,0,0,0,1,1,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_92_1hop_149,B,6,0,0,0,1,1,1,0,0,1,2,finish,0,0,0,0,검색:야간주거침입절도 관련 판례 및 유사 사례→종료
qa_92_1hop_149,C,6,0,0,0,1,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_139_1hop_254,A,2,0,0,0,0,1,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_139_1hop_254,B,2,2,2,0,0,1,1,0,0,1,2,finish,0,0,0,0,검색:수형자 선거권 관련 법조문→종료
qa_139_1hop_254,C,3,0,0,0,0,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_49_2hop_192_rand,A,5,0,0,0,1,2,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_49_2hop_192_rand,B,2,0,0,0,1,2,1,0,0,1,2,finish,0,0,0,0,검색:도로관리협회 감독 관련 추가 조문 검색: 도→종료
qa_49_2hop_192_rand,C,4,0,0,0,1,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_116_2hop_452_rand,A,5,0,0,0,2,2,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_116_2hop_452_rand,B,2,0,0,0,2,2,1,0,0,1,2,finish,0,0,0,0,검색:별정우체국 지정 해지 절차 및 지정 취소 시→종료
qa_116_2hop_452_rand,C,2,0,0,0,2,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_19_1hop_28,A,4,0,0,0,0,1,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_19_1hop_28,B,5,0,0,0,0,1,1,0,0,1,2,finish,0,0,0,0,검색:상법 제295조 (소송 제기 기간 관련 추가→종료
qa_19_1hop_28,C,2,0,0,0,0,1,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_621_2hop_937,A,6,0,0,0,0,2,1,1,1,3,1,finish,0,0,0,0,검색→생성→사실검증→논리검증→종료
qa_621_2hop_937,B,5,0,0,0,0,2,1,0,0,1,2,finish,0,0,0,0,검색:토지 수용 관련 행정소송 절차 및 집행정지 →종료
qa_621_2hop_937,C,4,0,0,0,0,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_387_2hop_603,A,3,0,0,0,1,2,1,3,3,7,3,finish,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_387_2hop_603,B,8,0,0,0,1,2,1,0,0,1,2,finish,0,0,0,0,"검색:사문서 위조 및 변조 관련 추가 조문, 배임→종료"
qa_387_2hop_603,C,5,0,0,0,1,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_90_2hop_147,A,2,0,0,0,0,2,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_90_2hop_147,B,3,0,1,1,0,2,1,0,0,1,2,finish,0,0,0,0,검색:자전거 보험 관련 조문 및 사례 검색→종료
qa_90_2hop_147,C,3,0,0,0,0,2,0,1,0,1,2,finish,0,0,0,0,사실검증→종료
qa_476_2hop_749,A,8,1,1,0,0,2,1,3,3,7,3,max_iter,0,0,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
