id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_19_1hop_28,A,4,0,0,0,0,1,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_19_1hop_28,B,1,0,0,0,0,1,1,0,0,1,2,finish,0,0,검색:법조문 데이터베이스에서 관련 조문을 더 찾아→종료
qa_92_1hop_149,A,8,0,0,0,1,1,1,1,1,3,1,finish,0,0,검색→생성→사실검증→논리검증→종료
qa_92_1hop_149,B,7,0,0,0,1,1,1,0,0,1,2,finish,0,0,검색:야간 주거침입절도 관련 법조문→종료
qa_139_1hop_254,A,7,2,2,0,0,1,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_139_1hop_254,B,5,1,1,0,0,1,0,0,0,0,8,max_steps,1,8,형식오류→형식오류→형식오류→형식오류→형식오류→형식오류→형식오류→형식오류
qa_172_1hop_308,A,2,0,0,0,1,1,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_172_1hop_308,B,1,0,0,0,1,1,0,0,1,1,2,finish,0,0,논리검증→종료
qa_90_2hop_147,A,2,0,0,0,0,2,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_90_2hop_147,B,3,0,0,0,0,2,1,0,0,1,2,finish,0,0,검색:자전거 손해보험에 관한 법적 책임과 보험의 →종료
qa_192_2hop_334,A,7,0,0,0,1,2,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_192_2hop_334,B,4,0,0,0,0,2,1,0,0,1,2,finish,0,0,"검색:[상황]
갑은 지역 행정기관 소속 공무원으로→종료"
qa_312_2hop_499,A,3,0,0,0,1,2,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_312_2hop_499,B,6,0,0,0,2,2,0,0,1,1,2,finish,0,0,논리검증→종료
qa_387_2hop_603,A,5,0,0,0,1,2,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_387_2hop_603,B,5,0,0,0,1,2,1,0,0,1,2,finish,0,0,"검색:[상황]
갑은 중소기업의 인사 담당자로 근무→종료"
qa_476_2hop_749,A,6,0,0,0,0,2,1,3,3,7,3,max_iter,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_476_2hop_749,B,7,0,0,0,0,2,1,0,0,1,2,finish,0,0,검색:강도죄의 형량과 가중처벌 조건→종료
qa_621_2hop_937,A,5,0,0,0,0,2,1,2,2,5,2,finish,0,0,검색→생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_621_2hop_937,B,4,0,0,0,1,2,1,0,0,1,2,finish,0,0,검색:집행정지 인정 요건 관련 법조문→종료
