id,domain,arm,skill,route_pred,stages,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,seq
qa_92_1hop_149,형사,C0,,,,5,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:야간주거침입절도죄 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_92_1hop_149,형사,C1,criminal-law-verification,,014,3,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:야간주거침입절도 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_92_1hop_149,형사,C2,criminal-law-verification,형사,013,6,0,0,0,1,1,0,1,1,2,3,finish,0,0,사실검증→논리검증→종료
qa_387_2hop_603,형사,C0,,,,3,0,0,0,1,2,1,0,7,8,8,max_steps,1,0,검색:형사법률 조문 검색→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,형사,C1,criminal-law-verification,,01,6,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_387_2hop_603,형사,C2,criminal-law-verification,형사,01,6,0,0,0,1,2,0,1,0,1,2,finish,0,0,사실검증→종료
qa_174_1hop_312,형사,C0,,,,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:집행유예와 금고 이상의 실형 관련 법조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_174_1hop_312,형사,C1,criminal-law-verification,,01,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:집행유예 취소 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_174_1hop_312,형사,C2,criminal-law-verification,형사,01,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,검색:집행유예 취소 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_401_2hop_619,민사,C0,,,,3,0,0,0,0,2,2,0,6,8,8,max_steps,1,0,검색:토지공유자 동의 필요 조문→검색:토지공유자 동의 관련 민법 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_401_2hop_619,민사,C1,civil-law-verification,,013,3,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:토지공유자 동의 필요 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_401_2hop_619,민사,C2,civil-law-verification,민사,0134,2,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,검색:토지공유자 동의 필요 조문→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,형사,C0,,,,8,0,0,0,1,1,2,0,6,8,8,max_steps,1,0,검색:형사법률 공공장소 음란 행위 관련 조문→검색:공원 음란 행위 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,형사,C1,criminal-law-verification,,0134,6,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,검색:형사법 공연음란죄 적용→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_94_1hop_155,형사,C2,criminal-law-verification,형사,01234,6,1,1,0,1,1,2,0,6,8,8,max_steps,1,0,검색:형사법 관련 법조문 검색→검색:형법 제245조 공연음란→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
