id,arm,cites,fake,sfake,mism,gold_hit,gold_tot,search,fact,logic,tools_total,steps,end,loop,fmt_errors,answer_miss,gate_unmet,seq
qa_476_2hop_749,A,5,0,0,0,0,2,0,1,1,2,1,finish,0,0,0,0,생성→사실검증→논리검증→종료
qa_476_2hop_749,B,4,0,0,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_476_2hop_749,C,3,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,0,1,"검색:형법 제307조, 제287조, 제288조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_139_1hop_254,A,3,0,0,0,0,1,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_139_1hop_254,B,3,0,0,0,0,1,0,0,0,0,1,finish,0,0,1,0,종료
qa_139_1hop_254,C,1,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,8,1,검색:형사 재판 중인 사람 선거권 제한 관련 법령→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_387_2hop_603,A,4,0,0,0,0,2,0,3,3,6,3,finish,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_387_2hop_603,B,4,0,0,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_387_2hop_603,C,2,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,0,1,검색:전자거래법 제18조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_116_2hop_452_rand,A,4,0,0,0,2,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_116_2hop_452_rand,B,6,6,6,0,0,2,0,0,0,0,1,finish,0,0,1,0,종료
qa_116_2hop_452_rand,C,5,0,0,0,2,2,1,0,7,8,8,max_steps,1,0,0,1,검색:별정우체국 지정 해지 및 시설 철거 관련 법→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_49_2hop_192_rand,A,2,0,0,0,0,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_49_2hop_192_rand,B,5,0,0,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_49_2hop_192_rand,C,4,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,0,1,"검색:도로관리법 제10조, 도로관리법 시행령 제1→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_312_2hop_499,A,2,2,2,0,0,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_312_2hop_499,B,2,1,1,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_312_2hop_499,C,2,0,0,0,0,2,5,0,3,8,8,max_steps,0,0,0,1,검색:가정법률보호법 제16조→논리검증→검색:민법 제847조→검색:민법 제847조→논리검증→논리검증→검색:민법 제839조의2→검색:민법 제839조의2
qa_92_1hop_149,A,7,0,0,0,1,1,0,2,2,4,2,finish,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→종료
qa_92_1hop_149,B,3,0,0,0,1,1,0,0,0,0,1,finish,0,0,1,0,종료
qa_92_1hop_149,C,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,8,1,검색:형법 제309조 도난죄 관련 판례→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_19_1hop_28,A,3,0,0,0,0,1,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_19_1hop_28,B,2,0,0,0,0,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_19_1hop_28,C,2,0,0,0,0,1,1,0,7,8,8,max_steps,1,0,0,1,"검색:민법 제206조, 제217조→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_172_1hop_308,A,1,0,0,0,1,1,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_172_1hop_308,B,3,0,0,0,0,1,0,0,0,0,1,finish,0,0,0,0,종료
qa_172_1hop_308,C,1,0,0,0,1,1,1,0,7,8,8,max_steps,1,0,0,1,검색:민사소송법 변론조서 법적 효력→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_90_2hop_147,A,3,0,0,0,0,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_90_2hop_147,B,4,0,0,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_90_2hop_147,C,6,0,0,0,0,2,1,0,7,8,8,max_steps,1,0,0,1,"검색:보험업법 제107조, 민법 제368조, 민법→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_621_2hop_937,A,4,0,3,3,0,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_621_2hop_937,B,1,1,1,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_621_2hop_937,C,6,3,3,0,0,2,1,0,7,8,8,max_steps,1,0,0,1,"검색:강제수용 취소소송, 집행정지 요건→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증"
qa_192_2hop_334,A,4,0,0,0,1,2,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
qa_192_2hop_334,B,30,1,1,0,0,2,0,0,0,0,1,finish,0,0,0,0,종료
qa_192_2hop_334,C,3,1,1,0,0,2,2,0,6,8,8,max_steps,1,0,0,1,검색:형사처벌 관련 법령 명시→검색:형사처벌 관련 법령 명시→논리검증→논리검증→논리검증→논리검증→논리검증→논리검증
qa_163_2hop_630_rand,A,2,1,1,0,0,1,0,3,3,6,3,max_iter,0,0,0,0,생성→사실검증→논리검증→재생성→사실검증→논리검증→재생성→사실검증→논리검증→종료(max_iter)
